lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
moment	NN	2012	2012-2019	2012-2019_moment_1931		Ved hjelp av denne retorikken makter han å skape et moment for erkjennelse og innsats.	52:58	0:86	15083	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_734		Ett moment i regjeringens forslag er at terskelen senkes for hvor langt en person må vaere kommet i forberedelsene av terrorhandlinger før straffansvar inntrer.	4:10	0:159	15096	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_775		Også for arbeidsmarkedsforskningen vil det vaere naturlig å tillegge disse momenter vekt.	74:82	0:88	15084	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_529		Hun mener at lagmannsrettens straffutmåling i utgangspunkt ligger på et riktig nivå, men at det er momenter som tilsier at straffen bør settes noe ned.	99:107	0:151	15086	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1632		Det bør ved utformingen av de naermere regler dessuten tas hensyn til at behovet for velferdspermisjon i slike tilfelle vil vaere mindre ved innføring av den foreslåtte differensierte fullbyrdelsesmodell. Velferdsgrunner som nevnt, vil vaere viktige momenter for å overføre fangen til mindre restriktive fullbyrdelsesalternativer, se naermere kap. 9.2. I endel spesielle tilfelle bør velferdspermisjon etter Utvalgets oppfatning normalt ikke gis, enten det er tale om slik velferdspermisjon som fangen etter reglene har rett til, eller det er tale om slik velferdspermisjon som kan tilstas etter fengselsmyndighetenes skjønn.	247:255	0:621	15079	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1462		Den visuelle opplevelsen av bokstavformene og lydopplevelsen er viktige moment.	72:78	0:79	15098	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_1307		For det andre er heller ikke handlingen tilstrekkelig engasjerende, men går så å si på tomgang, med stadig gjentakende momenter frem mot den mindre overbevisende sammenflettingen i slutten av boken.	119:127	0:198	15091	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1640		Her vil mulighetene vaere ulike for bedrifter i skjermet og i konkurranseutsatt sektor. Generelt gjelder at jo mindre faktorbeskatningen påvirker bedriftens tilpasning, desto mindre effektivitetstap vil den forårsake. 4. Etter en grundig vurdering av de momentene som taler for og de som taler mot de to alternativene til skattegrunnlag, er gruppen kommet til at nettoinntekt fortsatt bør gjelde som skattegrunnlag i bedriftsbeskatningen.	253:262	0:437	15097	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1243		I sin omtale av naeringskombinasjoner trekker Samekulturutvalget fram et nytt moment i diskusjonen om å bevare bosettingen (NOU 1985:14, s.106): «Kombinasjonen fiske/småbruk har gått en del tilbake etter krigen, og spesialisering i naeringslivet gjør seg delvis gjeldende også her.	77:83	0:279	15093	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_2591		Derfor er det viktig å gå over med en momentnøkkel og stramme til med riktig moment.	38:44	0:84	15089	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1016		Et viktig moment er her at industrien bør søke å få slike kontrakter innenfor spesielle innsatsområder, og at dette ofte danner basis for senere kontrakter under storkontrakter av type 1. - Kontrakter for infrastrukturutbygging og lokale kontrakter.	10:16	0:249	15100	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_53		Når Lysbakken selv sier at det ble utvist dårlig skjønn, så ble det det. Alle kan gjøre feil, og dersom det ikke kommer frem flere momenter i denne saken, vil Lysbakken både bli valgt til SV-leder og fortsette som statsråd.	131:139	0:223	15087	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_1220		Fra forsikringsbransjen blir flere momenter fremhevet.	35:43	0:54	15094	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_839		For så vidt gjelder det sistnevnte moment peker Utvalget på reglene i U § 105, som ved henvisningen til U § 98 bl. a. pålegger forretningsfører og styremedlem i sammenslutninger plikt til å gi de nødvendige opplysninger til boet. Man har imidlertid ikke funnet disse argumenter avgjørende.	35:41	0:289	15099	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_2849		Og for en bil som har lagt vekt på å se litt annerledes ut, er også firehjulstrekket i stil med dette. Firehjulstrekkeren Prius, utviklet og tilpasset i samarbeid med Toyota Norge, har fått en kompakt og lett el-motor på bakakselen som er spesialutviklet for å yte med høyt moment i lav fart.	274:280	0:292	15080	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_275		Også på dette stadium må fortiden tas i betraktning, men bare som et moment blant flere.	69:75	0:88	15090	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_1636		Det samme sier forsvarsminister Ine Eriksen Søreide (H). Men hun legger konsekvent til ett moment til: Vi har sett at intensjonen kan endre seg meget raskt.	91:97	0:156	15085	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_103		Nedenfor nevnes noen av momentene ved vurderingen. Straffeloven § 211 er en rettslig standard.	24:33	0:94	15092	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_296		Dersom dette hadde vaert et viktig moment i etterforskningen, og påpekt i dokumentene, er det opplagt at politiet ville tatt opp dette med NFF. Det har de ikke gjort, understreker kommunikasjonsdirektøren.	34:40	0:204	15095	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_1438		Det å plutselig ha et ekstra usikkert moment rundt seg — sin egen kropp — som man ikke forstår eller kan forutse, vil skape stress og uro i barnet.	38:44	0:147	15088	nor_dia_change_subset2	no	andrey
moment	NN	2012	2012-2019	2012-2019_moment_2108		Nå må vi bli mye mer direkte i stilen og få ballen opp på motstandernes halvdel, sier briten. Han peker også på omstendighetene når han skal forklare hvorfor han ikke har lyktes med stilen og filosofien han egentlig forfekter. – Det har ikke vaert lett å få stabilitet i laget. Nå skal alle vaere hundre prosent klare til neste kamp og vi vet hva vi har å velge i. Det har blitt for mye triksing og bruk av folk utenfor sine vante roller. Det er det slutt på nå, slår han fast. Burchnall har også klare roller og enklere oppgaver som et moment.	535:541	0:542	15081	nor_dia_change_subset2	no	andrey
moment	NN	1980	1980-1990	1980-1990_moment_492		Det at en del hushold ikke flytter til sentraliseringsregionene er åpenbert et moment.	79:85	0:86	15082	nor_dia_change_subset2	no	andrey
