word	instances	hours
frakk	124	1.25
mål	129	1.25
anfektelse	103	0.75
skjerm	100	0.75
katten	100	0.5
kjemi	100	0.5
pære	150	1.0
tro	100	0.75
horisont	100	0.75
plattform	100	0.5
idiot	100	0.5
lyng	101	0.5
tropp	109	0.5
egg	103	0.75
kloakk	100	0.75
linse	100	0.5
fag	100	0.5
operasjon	100	0.75
landet	100	0.5
mening	100	0.5
ørret	100	0.5
bit	160	1.25
leder	100	0.5
leilighet	100	0.75
kart	100	0.5
bølge	100	0.5
krem	100	0.5
sete	100	0.5
rad	155	0.75
varsel	100	0.25
ris	100	0.5
formiddagen	100	0.5
etterforskning	100	0.25
fil	190	0.5
gress	100	0.5
data	100	0.5
stoff	100	0.75
forhold	102	0.75
damp	100	0.75
rev	128	0.75
husrom	120	0.75
-	-	-
rådgiver	115	0.25
kode	119	1.5
virus	115	0.5
særforbund	115	0.25
kohort	115	1.0
vert	115	0.75
storby	116	0.5
bystyrerepresentant	120	0.25
oppvarming	119	1.0
kanal	116	1.0
tavle	115	0.75
syden	128	0.25
melk	154	0.5
vindu	119	0.75
terror	129	0.5
nett	118	0.75
driftsregnskap	115	0.5
innstilling	122	0.5
overflate	115	0.75
mus	128	0.75
tendens	115	0.25
fjær	121	0.5
side	115	1.0
moment	115	0.75
bank	120	0.5
fane	115	0.75
spill	120	0.75
utakt	121	0.5
kreft	115	0.25
sky	116	0.75
mappe	115	0.5
papir	118	0.75
virkelighet	115	0.75
melding	119	0.5
kjøpepress	130	0.75
strøm	125	0.5
tjener	116	0.5
tape	0	0.0
tester	0	0.0
stryk	121	0.5



